Age,Height_cm,Weight_kg,BMI,Gender,FitnessGoal,Level,WorkoutsPerWeek,WalksPerWeek,HealthCondition,ActivityLevel,WorkoutType,DietType
56,178,64,20.2,Male,Endurance,Beginner,0,3,None,Lightly Active,Cardio,Balanced
46,196,70,18.2,Male,Endurance,Professional,6,5,None,Very Active,Cardio,Balanced
32,153,73,31.2,Male,Flexibility,Professional,5,1,None,Active,Flexibility,Balanced
25,161,45,17.4,Female,Flexibility,Beginner,2,0,None,Lightly Active,Flexibility,Balanced
38,194,79,21.0,Female,Muscle Gain,Intermediate,4,4,None,Active,Strength,High Protein
56,151,114,50.0,Male,Flexibility,Intermediate,4,3,None,Active,Flexibility,Balanced
36,176,103,33.3,Female,Muscle Gain,Intermediate,1,3,None,Lightly Active,Strength,High Protein
40,180,113,34.9,Male,Endurance,Beginner,2,4,None,Active,Cardio,Balanced
28,185,77,22.5,Male,Endurance,Intermediate,2,3,None,Active,Cardio,Balanced
28,185,95,27.8,Female,Weight Loss,Beginner,1,2,None,Lightly Active,Cardio,Calorie Deficit
41,175,56,18.3,Female,Endurance,Beginner,5,3,None,Very Active,Cardio,Balanced
53,192,64,17.4,Female,Muscle Gain,Professional,5,7,Diabetes,Very Active,Strength,Low GI Balanced
57,176,97,31.3,Male,Flexibility,Intermediate,5,4,None,Very Active,Flexibility,Balanced
41,154,87,36.7,Female,Weight Loss,Beginner,2,3,Heart Condition,Active,Low-Impact Cardio,Calorie Deficit
20,169,94,32.9,Female,Muscle Gain,Intermediate,3,4,None,Active,Strength,High Protein
39,160,73,28.5,Female,Flexibility,Intermediate,3,7,None,Very Active,Flexibility,Balanced
19,159,101,40.0,Female,Weight Loss,Professional,3,3,None,Active,Cardio,Calorie Deficit
41,189,83,23.2,Female,Endurance,Intermediate,2,5,None,Active,Cardio,Balanced
47,187,100,28.6,Female,Muscle Gain,Professional,6,5,None,Very Active,Strength,High Protein
55,155,87,36.2,Female,Flexibility,Beginner,3,4,None,Active,Flexibility,Balanced
19,157,94,38.1,Non-binary/Other,Weight Loss,Intermediate,4,2,None,Active,Cardio,Calorie Deficit
38,172,67,22.6,Female,Weight Loss,Beginner,3,4,None,Active,Cardio,Calorie Deficit
50,196,88,22.9,Male,Endurance,Intermediate,6,1,None,Very Active,Cardio,Balanced
29,175,82,26.8,Female,Flexibility,Beginner,0,4,None,Lightly Active,Flexibility,Balanced
39,195,67,17.6,Male,Endurance,Intermediate,3,5,None,Active,Cardio,Balanced
42,192,89,24.1,Male,Endurance,Intermediate,3,3,None,Active,Cardio,Balanced
44,161,96,37.0,Female,Flexibility,Intermediate,5,6,None,Very Active,Flexibility,Balanced
59,175,94,30.7,Female,Flexibility,Intermediate,7,1,None,Very Active,Flexibility,Balanced
45,162,52,19.8,Female,Flexibility,Intermediate,3,6,Joint Pain,Active,Low-Impact Strength/Range,Balanced
33,189,45,12.6,Male,Muscle Gain,Intermediate,6,4,Asthma,Very Active,Strength,High Protein
